学员ID,修正前缴费总额,修正后缴费总额
STU10004,3286.36,3176
STU10019,4592.35,4800
STU10026,4235.35,4200
STU10029,10590.78,10464
STU10033,6466.55,6576
STU10035,3866.94,3920
STU10040,8893.06,8808
STU10051,4697.15,4800
STU10058,10598.25,10140
STU10081,6164.25,6336
STU10087,5207.64,5256
STU10097,2681.5,2720
STU10104,3761.32,3840
STU10122,13049.03,12630
STU10133,7630.22,8016
STU10175,2569.81,2556
STU10185,2807.72,2688
STU10188,3812.25,3968
STU10201,8039.0,7712
STU10211,10387.68,10800
STU10228,8056.97,7880
STU10233,3890.63,3870
STU10242,7326.08,7704
STU10247,17967.28,18384
STU10253,6695.97,6740
STU10264,3925.25,3840
STU10282,4992.88,4850
STU10283,5720.64,5568
STU10288,5453.9,5684
STU10300,3854.98,3792
