月份,城市,缴费总额(元)
2025-09,广东,1985
2025-09,江苏,123
2025-09,福建,119
2025-09,陕西,1120
2025-10,上海,5003
2025-10,北京,2120
2025-10,四川,1690
2025-10,安徽,710
2025-10,山东,10053
2025-10,广东,895
2025-10,江苏,412
2025-10,河北,8685
2025-10,河南,1127
2025-10,浙江,4790
2025-10,湖北,1340
2025-10,福建,1010
2025-10,辽宁,1432
2025-10,重庆,6329
2025-10,陕西,3765
2025-11,上海,821
2025-11,四川,2902
2025-11,安徽,3080
2025-11,山东,7867
2025-11,广东,2678
2025-11,河南,1737
2025-11,浙江,102
2025-11,湖北,3011
2025-11,福建,6488
2025-11,重庆,1430
2025-11,陕西,1350
2025-12,上海,10904
2025-12,北京,248
2025-12,四川,1393
2025-12,安徽,10939
2025-12,山东,2755
2025-12,广东,2080
2025-12,江苏,2523
2025-12,河北,1450
2025-12,河南,228
2025-12,浙江,620
2025-12,湖北,933
2025-12,湖南,874
2025-12,福建,1174
2025-12,重庆,2370
2025-12,陕西,2584
2026-01,上海,1820
2026-01,北京,204
2026-01,四川,134
2026-01,安徽,2132
2026-01,山东,483
2026-01,广东,5913
2026-01,江苏,112
2026-01,河北,1450
2026-01,河南,350
2026-01,浙江,6760
2026-01,湖北,1325
2026-01,湖南,1265
2026-01,福建,4040
2026-01,辽宁,3845
2026-01,重庆,2995
2026-01,陕西,3653
2026-02,上海,7035
2026-02,北京,8873
2026-02,四川,206
2026-02,安徽,6181
2026-02,广东,2850
2026-02,江苏,4730
2026-02,河北,5270
2026-02,浙江,3250
2026-02,湖北,6410
2026-02,湖南,6552
2026-02,福建,4710
2026-02,辽宁,885
2026-02,重庆,14734
2026-02,陕西,4930
2026-03,上海,322
2026-03,北京,2186
2026-03,四川,1340
2026-03,安徽,695
2026-03,山东,4620
2026-03,江苏,2088
2026-03,河北,9860
2026-03,河南,13710
2026-03,浙江,243
2026-03,湖北,1026
2026-03,湖南,4021
2026-03,福建,2210
2026-03,辽宁,107
2026-03,陕西,6260
