月份,城市,缴费总额
2025-09,南京,52476
2025-09,深圳,42416
2025-09,杭州,42408
2025-09,成都,39632
2025-09,广州,33830
2025-09,上海,26530
2025-09,武汉,23368
2025-09,北京,21688
2025-10,上海,64896
2025-10,广州,48857
2025-10,武汉,39500
2025-10,北京,38760
2025-10,深圳,35985
2025-10,南京,34636
2025-10,杭州,30343
2025-10,成都,12968
2025-11,广州,64532
2025-11,成都,62736
2025-11,北京,48734
2025-11,武汉,40368
2025-11,上海,31523
2025-11,南京,29610
2025-11,杭州,22925
2025-11,深圳,3612
2025-12,上海,44342
2025-12,北京,42672
2025-12,成都,42424
2025-12,武汉,40465
2025-12,杭州,37266
2025-12,深圳,22809
2025-12,南京,14368
2025-12,广州,7104
2026-01,上海,66406
2026-01,南京,57311
2026-01,杭州,55217
2026-01,广州,39960
2026-01,北京,37746
2026-01,武汉,32610
2026-01,成都,12471
2026-01,深圳,10060
2026-02,北京,55300
2026-02,深圳,41578
2026-02,上海,31774
2026-02,广州,28758
2026-02,南京,25976
2026-02,成都,22812
2026-02,杭州,20112
2026-02,武汉,15134
